Absolute Magnitude,Orbit Uncertainity,Minimum Orbit Intersection,Neo Reference ID,Name,Orbit ID,Est Dia in KM(min),Est Dia in KM(max),Orbit Determination Date,Hazardous
20.5,0,0.0285212,3022970,3022970,33,0.06,0.06,511,1
20.5,6,0.0256712,3467177,3467177,20,0.06,0.06,349,1
21.6,6,0.0215439,3761480,3761480,21,0.04,0.04,810,1
22.6,2,0.0190291,3092253,3092253,18,0.02,0.02,507,1
18.4,1,0.03814,2434326,2434326,33,0.16,0.16,550,1
21.5,0,0.0377422,2451370,2451370,43,0.04,0.04,540,1
20.6,3,0.00112508,3557843,3557843,30,0.06,0.06,299,1
21.7,1,0.0181098,3025767,3025767,32,0.03,0.03,700,1
21.8,1,0.0112919,3311964,3311964,49,0.03,0.03,430,1
19.6,0,0.014981,2484402,2484402,72,0.09,0.09,744,1
20.3,1,0.0196539,3124996,3124996,18,0.07,0.07,691,1
21.7,2,0.0227346,3715507,3715507,40,0.03,0.03,115,1
21.8,2,0.023663,3653902,3653902,11,0.03,0.03,195,1
20.5,0,0.0129026,2155338,2155338,24,0.06,0.06,649,1
20.7,0,0.0210776,2450270,2450270,27,0.05,0.05,542,1
20.0,1,0.035022,2359170,2359170,24,0.08,0.08,592,1
19.1,1,0.0491135,3479127,3479127,21,0.11,0.11,728,1
17.9,1,0.035299,3602685,3602685,57,0.2,0.2,261,1
21.2,0,0.00300594,3409961,3409961,51,0.04,0.04,384,1
20.2,0,0.0311616,2085990,2085990,229,0.07,0.07,664,1
21.6,0,0.0311029,3170204,3170204,35,0.04,0.04,469,1
18.7,0,0.0242774,2006037,2006037,72,0.14,0.14,763,1
19.9,0,0.026816,2302169,2302169,22,0.08,0.08,608,1
16.9,0,0.0381127,2068346,2068346,190,0.32,0.32,667,1
20.5,1,0.0197962,3436380,3436380,28,0.06,0.06,373,1
19.8,1,0.0206764,3160850,3160850,26,0.08,0.08,472,1
21.5,4,0.00556992,3464007,3464007,24,0.04,0.04,354,1
20.6,4,0.00017745,3754438,3754438,15,0.06,0.06,49,1
17.6,0,0.0100036,2088254,2088254,121,0.23,0.23,786,1
21.457,4,0.0484508,3776278,3776278,9,0.04,0.04,805,1
18.6,0,0.0445167,3549392,3549392,42,0.14,0.14,310,1
17.7,0,0.0379183,2141851,2141851,96,0.22,0.22,821,1
20.0,7,0.0205144,3549694,3549694,23,0.08,0.08,309,1
19.3,5,0.0461669,3743119,3743119,15,0.1,0.1,72,1
22.1,1,0.0113586,3102683,3102683,12,0.03,0.03,493,1
16.25,0,0.025757,2001862,2001862,285,0.43,0.43,713,1
20.9,0,0.002686,3157028,3157028,36,0.05,0.05,476,1
21.3,1,0.00410468,3455100,3455100,31,0.04,0.04,360,1
20.9,0,0.002686,3157028,3157028,36,0.05,0.05,476,1
20.8,0,0.0352052,2455184,2455184,41,0.05,0.05,537,1
20.0,0,0.0254032,3002856,3002856,25,0.08,0.08,522,1
17.9,0,0.010566,2033342,2033342,167,0.2,0.2,673,1
21.9,3,0.0118873,3726791,3726791,42,0.03,0.03,97,1
19.4,0,0.014081,2065679,2065679,87,0.1,0.1,833,1
22.2,1,0.00293641,3063058,3063058,15,0.03,0.03,502,1
20.3,0,0.0182368,3720978,3720978,35,0.07,0.07,108,1
19.0,3,0.015962,3624741,3624741,24,0.12,0.12,233,1
20.8,0,0.0241636,2164202,2164202,73,0.05,0.05,722,1
19.0,0,0.0486794,3596144,3596144,53,0.12,0.12,268,1
18.7,0,0.0170362,2008014,2008014,57,0.14,0.14,676,1
19.8,3,0.0151958,3754386,3754386,45,0.08,0.08,50,1
19.4,0,0.0249707,2413260,2413260,67,0.1,0.1,567,1
21.8,0,0.0265654,3635331,3635331,28,0.03,0.03,220,1
18.1,0,0.0345132,2363505,2363505,236,0.18,0.18,591,1
20.855,2,0.0232265,3555763,3555763,18,0.05,0.05,752,1
18.8,0,0.0234425,3367027,3367027,29,0.13,0.13,414,1
19.7,0,0.00934325,2423709,2423709,94,0.09,0.09,554,1
19.8,0,0.00110985,3550889,3550889,40,0.08,0.08,314,1
20.1,0,0.0454035,2152671,2152671,77,0.07,0.07,655,1
20.9,1,0.0287327,3519490,3519490,27,0.05,0.05,324,1
20.6,1,0.028236,3114027,3114027,10,0.06,0.06,489,1
19.4,0,0.00624191,2470310,2470310,48,0.1,0.1,795,1
19.1,0,0.0140154,3381449,3381449,38,0.11,0.11,687,1
17.6,0,0.00294794,2154276,2154276,87,0.23,0.23,650,1
18.9,1,0.00780919,3669253,3669253,46,0.13,0.13,812,1
20.7,1,0.0242192,3634904,3634904,16,0.05,0.05,221,1
20.6,3,0.0281473,3714452,3714452,17,0.06,0.06,117,1
20.4,0,0.013697,3074754,3074754,30,0.06,0.06,803,1
19.3,0,0.0289041,2385252,2385252,29,0.1,0.1,578,1
19.1,0,0.0271362,2138404,2138404,81,0.11,0.11,716,1
20.6,0,0.0108978,2041429,2041429,68,0.06,0.06,670,1
18.7,0,0.0355664,2235756,2235756,55,0.14,0.14,620,1
17.9,0,0.0238783,2037655,2037655,75,0.2,0.2,671,1
20.4,0,0.017126,2388945,2388945,82,0.06,0.06,573,1
19.1,1,0.0491136,2494975,2494975,30,0.11,0.11,802,1
21.0,1,0.0227551,3634615,3634615,21,0.05,0.05,222,1
21.3,5,0.0427367,3741556,3741556,13,0.04,0.04,780,1
21.0,1,0.038891,3574100,3574100,25,0.05,0.05,284,1
18.2,0,0.00290752,2004660,2004660,105,0.17,0.17,768,1
21.4,0,0.0321026,2465617,2465617,22,0.04,0.04,533,1
20.6,0,0.0118739,2162422,2162422,65,0.06,0.06,645,1
20.9,8,0.0225783,3335613,3335613,10,0.05,0.05,422,1
19.4,0,0.0437754,2471323,2471323,22,0.1,0.1,526,1
16.7,0,0.0260101,2035107,2035107,337,0.35,0.35,673,1
21.2,0,0.00488139,3125003,3125003,29,0.04,0.04,486,1
18.9,0,0.0497275,2267720,2267720,54,0.13,0.13,614,1
20.9,0,0.0364407,3574821,3574821,26,0.05,0.05,283,1
19.4,0,0.0353752,2329437,2329437,149,0.1,0.1,601,1
21.6,0,0.0139591,3137865,3137865,13,0.04,0.04,480,1
21.7,2,0.0218662,3544935,3544935,14,0.03,0.03,317,1
16.8,0,0.000958186,2007482,2007482,96,0.33,0.33,677,1
20.7,0,0.0498954,2416151,2416151,71,0.05,0.05,563,1
18.2,0,0.0260591,2194268,2194268,67,0.17,0.17,632,1
18.3,0,0.0108398,2450894,2450894,67,0.17,0.17,541,1
21.4,0,0.0166242,3046125,3046125,25,0.04,0.04,506,1
18.1,0,0.0193974,2365071,2365071,147,0.18,0.18,589,1
18.2,0,0.00290752,2004660,2004660,105,0.17,0.17,768,1
21.9,3,0.0118873,3726791,3726791,42,0.03,0.03,97,1
21.5,0,0.0377422,2451370,2451370,43,0.04,0.04,540,1
14.4,0,0.0282524,2004183,2004183,350,1.0,1.0,678,1
21.4,7,0.00730241,3556126,3556126,12,0.04,0.04,300,1
19.6,0,0.00644692,2416801,2416801,54,0.09,0.09,562,1
21.2,0,0.0278008,3307228,3307228,26,0.04,0.04,432,1
20.6,0,0.0454314,3682230,3682230,22,0.06,0.06,759,1
20.6,0,0.0108978,2041429,2041429,68,0.06,0.06,670,1
21.2,1,0.00179278,2487577,2487577,49,0.04,0.04,686,1
21.2,0,0.0291767,3752729,3752729,36,0.04,0.04,718,1
16.9,0,0.0203525,2004769,2004769,89,0.32,0.32,680,1
20.4,1,0.000726616,3477577,3477577,28,0.06,0.06,340,1
21.6,2,0.00251047,3567973,3567973,21,0.04,0.04,287,1
21.7,6,0.00575162,3740926,3740926,8,0.03,0.03,75,1
19.9,2,0.0298515,3600242,3600242,19,0.08,0.08,264,1
19.4,0,0.0202174,3120892,3120892,33,0.1,0.1,487,1
19.5,3,0.0490569,3736248,3736248,53,0.09,0.09,84,1
21.3,0,0.0203437,3014110,3014110,26,0.04,0.04,517,1
18.5,0,0.0188446,2297418,2297418,119,0.15,0.15,610,1
19.0,0,0.0201161,2163683,2163683,41,0.12,0.12,640,1
17.6,0,0.0364095,2090403,2090403,154,0.23,0.23,661,1
20.8,0,0.00676109,3703166,3703166,37,0.05,0.05,726,1
19.7,0,0.000659446,2099942,2099942,193,0.09,0.09,0,1
21.0,7,0.00787483,3392084,3392084,15,0.05,0.05,404,1
18.6,0,0.00118835,2085236,2085236,78,0.14,0.14,666,1
21.0,4,0.0214934,3717082,3717082,15,0.05,0.05,113,1
21.1,0,0.0369664,3015691,3015691,33,0.05,0.05,13,1
21.3,5,0.0427367,3741556,3741556,13,0.04,0.04,780,1
20.9,8,0.0142423,3472299,3472299,10,0.05,0.05,344,1
22.1,0,0.00767126,3025766,3025766,24,0.03,0.03,509,1
20.5,5,0.00624978,3770330,3770330,23,0.06,0.06,811,1
19.9,3,0.0248668,3713991,3713991,25,0.08,0.08,120,1
21.6,5,0.0252819,3703080,3703080,17,0.04,0.04,136,1
18.8,0,0.0234425,3367027,3367027,29,0.13,0.13,414,1
21.7,3,0.0482413,3767037,3767037,18,0.03,0.03,688,1
20.8,0,0.000135863,2433953,2433953,77,0.05,0.05,825,1
21.6,1,0.034798,3514799,3514799,25,0.04,0.04,329,1
18.3,1,0.013395,2003362,2003362,23,0.17,0.17,679,1
19.4,1,0.0215286,3373683,3373683,44,0.1,0.1,698,1
20.0,0,0.03227,3182172,3182172,36,0.08,0.08,727,1
19.5,0,0.0369778,3399918,3399918,17,0.09,0.09,397,1
19.5,5,0.0126644,3755203,3755203,9,0.09,0.09,48,1
19.4,0,0.0437754,2471323,2471323,22,0.1,0.1,526,1
21.1,6,0.033471,3758927,3758927,10,0.05,0.05,40,1
19.1,0,0.0423433,2230111,2230111,113,0.11,0.11,622,1
19.8,0,0.0443524,3334817,3334817,37,0.08,0.08,423,1
19.8,0,0.00864628,2267221,2267221,80,0.08,0.08,773,1
19.4,0,0.0441825,3566697,3566697,20,0.1,0.1,7,1
21.6,1,0.0277283,3475236,3475236,24,0.04,0.04,342,1
21.1,5,0.0417191,3661368,3661368,20,0.05,0.05,190,1
21.9,6,0.0440339,3132128,3132128,23,0.03,0.03,482,1
21.0,2,0.00215466,3701883,3701883,18,0.05,0.05,139,1
19.0,0,0.0140013,3252349,3252349,62,0.12,0.12,456,1
21.3,6,0.0196999,3591722,3591722,18,0.04,0.04,273,1
21.4,7,0.028653,3392310,3392310,11,0.04,0.04,403,1
14.4,0,0.0282524,2004183,2004183,350,1.0,1.0,678,1
20.4,1,0.0306929,3479011,3479011,55,0.06,0.06,339,1
18.4,0,0.028314,2175706,2175706,143,0.16,0.16,637,1
20.5,0,0.00471821,2382406,2382406,28,0.06,0.06,579,1
21.7,0,0.0373312,3409688,3409688,67,0.03,0.03,385,1
19.3,0,0.0308138,3275203,3275203,22,0.1,0.1,452,1
21.5,1,0.0453328,3358522,3358522,18,0.04,0.04,416,1
18.2,0,0.00221412,2444193,2444193,60,0.17,0.17,816,1
19.1,1,0.00672532,3601472,3601472,20,0.11,0.11,263,1
21.3,2,0.0190611,3752784,3752784,35,0.04,0.04,54,1
19.7,0,0.00246818,2380636,2380636,53,0.09,0.09,580,1
16.5,0,0.0240976,2068216,2068216,335,0.38,0.38,668,1
21.8,0,0.0436135,2411165,2411165,18,0.03,0.03,568,1
21.1,1,0.0051042,3292769,3292769,21,0.05,0.05,440,1
21.1,0,0.0233345,2455148,2455148,69,0.05,0.05,538,1
22.1,1,0.0113586,3102683,3102683,12,0.03,0.03,493,1
21.5,1,0.0409294,2468910,2468910,28,0.04,0.04,717,1
21.9,7,0.0363997,3714454,3714454,5,0.03,0.03,117,1
21.3,0,0.00157437,3451789,3451789,25,0.04,0.04,362,1
21.0,0,0.0132848,3549618,3549618,31,0.05,0.05,684,1
18.7,4,0.025236,3740498,3740498,25,0.14,0.14,720,1
22.2,0,0.0245325,3370021,3370021,44,0.03,0.03,411,1
19.0,0,0.0167982,2385605,2385605,57,0.12,0.12,577,1
21.8,2,0.00410662,3445070,3445070,21,0.03,0.03,369,1
19.5,1,0.0242684,2482796,2482796,78,0.09,0.09,826,1
18.0,0,0.0132207,2443103,2443103,115,0.19,0.19,690,1
20.3,0,0.0239052,2465633,2465633,32,0.07,0.07,533,1
19.7,2,0.0189675,3685808,3685808,13,0.09,0.09,765,1
18.7,0,0.00197078,2090416,2090416,121,0.14,0.14,660,1
20.5,3,0.0308154,3697798,3697798,19,0.06,0.06,778,1
22.0,0,0.0127543,3449054,3449054,70,0.03,0.03,734,1
21.1,0,0.0370434,2480820,2480820,35,0.05,0.05,523,1
21.5,0,0.0169065,2306383,2306383,30,0.04,0.04,607,1
20.6,3,0.0281473,3714452,3714452,17,0.06,0.06,117,1
21.3,1,0.0474329,3249347,3249347,24,0.04,0.04,458,1
21.0,0,0.017889,2265482,2265482,55,0.05,0.05,730,1
20.2,0,0.0270542,2366746,2366746,38,0.07,0.07,587,1
20.4,1,0.0379013,3714553,3714553,28,0.06,0.06,116,1
20.1,2,0.0317864,3651153,3651153,16,0.07,0.07,200,1
20.2,0,0.0236921,2162361,2162361,81,0.07,0.07,646,1
19.6,0,0.00015193,3579078,3579078,31,0.09,0.09,281,1
17.6,0,0.0265543,2329614,2329614,89,0.23,0.23,600,1
21.0,0,0.0132848,3549618,3549618,31,0.05,0.05,684,1
17.6,0,0.0100036,2088254,2088254,121,0.23,0.23,786,1
17.7,0,0.0291509,2363790,2363790,130,0.22,0.22,590,1
20.19,0,0.0032228,2101955,2101955,95,0.07,0.07,796,1
20.7,0,0.0133526,2208115,2208115,29,0.05,0.05,629,1
18.2,0,0.0275536,2153002,2153002,68,0.17,0.17,714,1
20.4,0,0.0178569,3309828,3309828,31,0.06,0.06,431,1
20.2,0,0.0236921,2162361,2162361,81,0.07,0.07,646,1
21.4,0,0.0280978,2363305,2363305,91,0.04,0.04,697,1
20.8,0,0.0358855,3522123,3522123,26,0.05,0.05,3,1
21.2,0,0.0278008,3307228,3307228,26,0.04,0.04,432,1
18.3,0,0.031732,3461189,3461189,27,0.17,0.17,356,1
18.2,2,0.0389965,3394069,3394069,29,0.17,0.17,401,1
17.0,0,0.0448578,2010115,2010115,154,0.3,0.3,702,1
21.3,0,0.0105299,2234145,2234145,57,0.04,0.04,621,1
21.0,1,0.0379556,3670102,3670102,18,0.05,0.05,762,1
21.3,1,0.00331604,3596845,3596845,22,0.04,0.04,267,1
21.6,2,0.0409175,3672899,3672899,24,0.04,0.04,5,1
19.1,0,0.0430734,2357022,2357022,71,0.11,0.11,593,1
20.8,2,0.0497576,3409964,3409964,32,0.05,0.05,383,1
20.8,0,0.0241636,2164202,2164202,73,0.05,0.05,722,1
19.5,1,0.0242684,2482796,2482796,78,0.09,0.09,826,1
17.5,0,0.0197173,2314082,2314082,55,0.24,0.24,604,1
19.9,0,0.0138031,2068347,2068347,37,0.08,0.08,748,1
20.0,0,0.0192505,2141432,2141432,102,0.08,0.08,657,1
18.9,0,0.0158613,2388188,2388188,75,0.13,0.13,573,1
18.9,0,0.0113716,2440212,2440212,108,0.13,0.13,544,1
20.8,0,0.00933635,2423321,2423321,67,0.05,0.05,555,1
17.4,0,0.00818464,2242643,2242643,73,0.25,0.25,619,1
20.2,0,0.0130652,2333578,2333578,83,0.07,0.07,599,1
21.3,0,0.00157437,3451789,3451789,25,0.04,0.04,362,1
20.3,0,0.00185561,3672669,3672669,42,0.07,0.07,176,1
22.0,7,0.0168435,3102729,3102729,6,0.03,0.03,491,1
18.8,1,0.0160302,2401954,2401954,34,0.13,0.13,749,1
20.7,0,0.042475,3283249,3283249,43,0.05,0.05,724,1
17.9,0,0.010566,2033342,2033342,167,0.2,0.2,673,1
21.2,0,0.00300594,3409961,3409961,51,0.04,0.04,384,1
20.4,1,0.0306929,3479011,3479011,55,0.06,0.06,339,1
19.3,0,0.00216071,2415745,2415745,44,0.1,0.1,564,1
19.5,1,0.0237275,3646599,3646599,74,0.09,0.09,14,1
21.7,2,0.0242856,3753621,3753621,6,0.03,0.03,53,1
19.8,0,0.00208787,2437905,2437905,29,0.08,0.08,547,1
21.3,1,0.00409967,2490354,2490354,32,0.04,0.04,707,1
21.0,7,0.0152314,3707694,3707694,17,0.05,0.05,128,1
22.0,5,0.0100462,3445082,3445082,12,0.03,0.03,368,1
21.1,0,0.0370434,2480820,2480820,35,0.05,0.05,523,1
21.4,2,0.0312601,3623580,3623580,25,0.04,0.04,235,1
19.6,0,0.0121492,2301844,2301844,40,0.09,0.09,609,1
18.4,0,0.026241,2163818,2163818,84,0.16,0.16,639,1
21.0,4,0.00511967,3724058,3724058,68,0.05,0.05,106,1
20.2,0,0.0229268,2382758,2382758,88,0.07,0.07,579,1
20.6,0,0.0346675,2455176,2455176,29,0.06,0.06,536,1
20.6,1,0.0367835,3606252,3606252,64,0.06,0.06,255,1
21.6,2,0.00251047,3567973,3567973,21,0.04,0.04,287,1
16.9,0,0.000589605,2035396,2035396,271,0.32,0.32,672,1
20.1,0,0.00642268,2342866,2342866,51,0.07,0.07,596,1
19.9,0,0.00930409,2162567,2162567,55,0.08,0.08,643,1
20.1,1,0.00799405,3440397,3440397,26,0.07,0.07,372,1
19.4,0,0.0460421,2438661,2438661,35,0.1,0.1,545,1
19.5,0,0.0473248,2352102,2352102,26,0.09,0.09,681,1
18.0,0,0.00449032,3324630,3324630,38,0.19,0.19,427,1
21.3,0,0.00912658,2369057,2369057,33,0.04,0.04,586,1
19.7,0,0.000142954,2177049,2177049,79,0.09,0.09,636,1
19.7,0,0.00609637,2251722,2251722,40,0.09,0.09,618,1
21.2,0,0.0278008,3307228,3307228,26,0.04,0.04,432,1
21.7,6,0.00575162,3740926,3740926,8,0.03,0.03,75,1
20.4,0,0.00858821,3184475,3184475,32,0.06,0.06,745,1
20.1,0,0.00370865,2277475,2277475,89,0.07,0.07,613,1
22.0,6,0.0214794,3387458,3387458,17,0.03,0.03,408,1
17.9,0,0.0451383,2348314,2348314,60,0.2,0.2,595,1
20.1,0,0.00642268,2342866,2342866,51,0.07,0.07,596,1
18.1,0,0.00139343,2405212,2405212,52,0.18,0.18,787,1
18.1,0,0.0311731,2409836,2409836,45,0.18,0.18,569,1
18.2,0,0.0261465,2417871,2417871,46,0.17,0.17,559,1
21.6,2,0.0409175,3672899,3672899,24,0.04,0.04,5,1
21.6,0,0.0303541,3082923,3082923,12,0.04,0.04,496,1
20.8,8,0.0311557,3013039,3013039,13,0.05,0.05,519,1
20.1,8,0.0358974,3078262,3078262,15,0.07,0.07,498,1
21.6,7,0.0397118,3730321,3730321,9,0.04,0.04,92,1
21.3,2,0.0179104,3653537,3653537,26,0.04,0.04,197,1
18.1,0,0.0287437,2386847,2386847,60,0.18,0.18,576,1
18.4,0,0.0233526,2138971,2138971,167,0.16,0.16,658,1
18.3,0,0.0105122,2457768,2457768,31,0.17,0.17,741,1
19.4,0,0.0107072,2462550,2462550,44,0.1,0.1,710,1
18.7,0,0.0355664,2235756,2235756,55,0.14,0.14,620,1
18.3,1,0.013395,2003362,2003362,23,0.17,0.17,679,1
19.8,0,0.00250782,2279744,2279744,39,0.08,0.08,611,1
18.4,0,0.026241,2163818,2163818,84,0.16,0.16,639,1
16.5,1,0.00283189,2163243,2163243,117,0.38,0.38,641,1
21.2,0,0.0443814,3160737,3160737,18,0.04,0.04,474,1
21.6,1,0.0427555,3449591,3449591,19,0.04,0.04,363,1
20.8,6,0.0223565,3279740,3279740,16,0.05,0.05,447,1
19.5,5,0.012568,3761549,3761549,8,0.09,0.09,32,1
21.3,4,0.0140066,3646046,3646046,13,0.04,0.04,207,1
20.9,0,0.0337336,3394543,3394543,34,0.05,0.05,824,1
20.7,0,0.042475,2494710,2494710,47,0.05,0.05,807,1
18.8,0,0.0328837,2162882,2162882,81,0.13,0.13,685,1
20.8,2,0.0497576,3409964,3409964,32,0.05,0.05,383,1
19.4,1,0.020437,2489486,2489486,45,0.1,0.1,706,1
22.0,3,0.0315366,3720440,3720440,13,0.03,0.03,699,1
18.6,0,0.00118835,2085236,2085236,78,0.14,0.14,666,1
19.9,0,0.00296999,2429584,2429584,50,0.08,0.08,552,1
20.0,1,0.0141525,3275512,3275512,26,0.08,0.08,451,1
20.224,4,0.0171437,3771619,3771619,43,0.07,0.07,832,1
20.3,0,0.0361452,2382745,2382745,50,0.07,0.07,579,1
19.5,0,0.0487335,2451003,2451003,42,0.09,0.09,822,1
21.9,2,0.0360908,3626029,3626029,13,0.03,0.03,232,1
18.4,1,0.022942,2436774,2436774,40,0.16,0.16,548,1
21.0,0,0.038564,2451157,2451157,56,0.05,0.05,540,1
16.5,0,0.0137915,2066391,2066391,212,0.38,0.38,785,1
19.9,2,0.0298515,3600242,3600242,19,0.08,0.08,264,1
20.7,0,0.00371747,3305002,3305002,32,0.05,0.05,434,1
21.5,2,0.0266238,3755345,3755345,21,0.04,0.04,761,1
19.8,0,0.00864628,2267221,2267221,80,0.08,0.08,773,1
17.7,0,0.0336461,2022753,2022753,192,0.22,0.22,674,1
20.5,0,0.00179697,2438908,2438908,68,0.06,0.06,545,1
20.5,0,0.00471821,2382406,2382406,28,0.06,0.06,579,1
19.8,1,0.0438023,2202683,2202683,29,0.08,0.08,631,1
20.0,2,0.0331774,3455137,3455137,28,0.08,0.08,359,1
21.3,0,0.00234208,3638380,3638380,17,0.04,0.04,216,1
19.3,0,0.00924442,2357439,2357439,94,0.1,0.1,719,1
20.3,2,0.0052176,3690051,3690051,37,0.07,0.07,158,1
20.6,0,0.01201,2162120,2162120,49,0.06,0.06,783,1
21.6,1,0.034798,3514799,3514799,25,0.04,0.04,329,1
21.9,2,0.0360908,3626029,3626029,13,0.03,0.03,232,1
17.7,0,0.0336461,2022753,2022753,192,0.22,0.22,674,1
21.7,0,0.0322578,3508112,3508112,41,0.03,0.03,333,1
18.2,0,0.0186866,2466130,2466130,37,0.17,0.17,531,1
19.7,0,0.0400648,3463175,3463175,23,0.09,0.09,742,1
21.9,0,0.00047866,2308635,2308635,126,0.03,0.03,801,1
20.0,5,0.0447622,3590266,3590266,19,0.08,0.08,275,1
19.6,0,0.0142281,3397922,3397922,45,0.09,0.09,16,1
18.7,0,0.0445011,2206378,2206378,172,0.14,0.14,630,1
